Common pattern ( -Elaboration).,"0,7715565345"
Common pattern ( -Explanation->Condition).,0
Common pattern ( -Explanation).,"0,5903880473"
Common pattern ( -Joint).,"0,6397048615"
Common pattern ( -Satellite=NN).,"0,4781833055"
Common pattern (Attribution-Explanation).,"0,3587722662"
Common pattern (Attribution-Joint).,"0,4212825007"
Common pattern (Elaboration-Elaboration).,"0,5872230795"
Common pattern (Elaboration-JOINT).,"0,3587722662"
Common pattern (Joint-Joint).,"0,2993001816"
Common pattern (Whatever-Contrast).,"0,3976445319"
Common pattern; nucleus has nested relations.,"0,1840579474"
Common pattern; nucleus without nested relations.,"0,2303642234"
Nucleus and satellite's nucleus have the same subject.,"0,2993001816"
Nucleus contains 'because'.,"0,003611770274"
Nucleus is surrounded by quotation marks and satellite's satellite contains a speech verb.,"0,04327694897"
Nucleus starts with 'but'.,"0,002529616246"
Nucleus starts with 'if' and its left subrelation is not 'Condition'.,"0,04327694897"
Satellite starts with 'so'.,"0,194130078"
Satellite's nucleus contains 'because'.,"0,1516563949"
Satellite's nucleus contains 'in fact' / 'as a matter of fact' / 'actually' / 'indeed' / 'also'.,"0,4212825007"
Satellite's nucleus starts with 'but'.,0